uid,id,source,rank,game
1,1,"1. 7 Wonders Duel","1","7 Wonders Duel"
2,1,"2. Splendor Duel","2","Splendor Duel"
3,1,"3. Azul","3","Azul"
4,1,"4. Project L","4","Project L"
5,1,"5. Evergreen","5","Evergreen"
6,1,"6. Ticket to Ride","6","Ticket to Ride"
7,1,"7. Botanik","7","Botanik"
8,1,"8. Kingdomino","8","Kingdomino"
9,1,"9. Kohaku","9","Kohaku"
10,1,"10. Bonsai","10","Bonsai"
11,1,"11. Crokinole","11","Crokinole"
12,1,"12. Samurai","12","Samurai"
13,1,"13. The Castles of Burgundy","13","The Castles of Burgundy"
14,1,"14. Akropolis","14","Akropolis"
15,1,"15. Carcassonne","15","Carcassonne"
16,1,"16. Jaipur","16","Jaipur"
17,1,"17. Patchwork","17","Patchwork"
18,1,"18. Battle Line","18","Battle Line"
19,1,"19. Conspiracy: Abyss Universe","19","Conspiracy: Abyss Universe"
20,1,"20. Railroad Ink Challenge","20","Railroad Ink Challenge"
21,2,"20. Kohaku","20","Kohaku"
22,2,"19. Akropolis","19","Akropolis"
23,2,"18. Radlands","18","Radlands"
24,2,"17. Azul: Stained Glass of Sintra","17","Azul: Stained Glass of Sintra"
25,2,"16. Battle Line","16","Battle Line"
26,2,"15. Jaipur","15","Jaipur"
27,2,"14. Splendor Duel","14","Splendor Duel"
28,2,"13. Project L","13","Project L"
29,2,"12. Roll for the Galaxy","12","Roll for the Galaxy"
30,2,"11. Patchwork Folklore: China","11","Patchwork Folklore: China"
31,2,"10. Istanbul","10","Istanbul"
32,2,"9. Crokinole","9","Crokinole"
33,2,"8. Arkham Horror: The Card Game","8","Arkham Horror: The Card Game"
34,2,"7. Gloomhaven: Jaws of the Lion","7","Gloomhaven: Jaws of the Lion"
35,2,"6. Shards of Infinity","6","Shards of Infinity"
36,2,"5. Samurai","5","Samurai"
37,2,"4. Summoner Wars (Second Edition)","4","Summoner Wars (Second Edition)"
38,2,"3. Sekigahara: The Unification of Japan","3","Sekigahara: The Unification of Japan"
39,2,"2. 7 Wonders Duel","2","7 Wonders Duel"
40,2,"1. The Castles of Burgundy: Special Edition","1","The Castles of Burgundy: Special Edition"
41,3,"1. Ark Nova","1","Ark Nova"
42,3,"2. Wingspan Asia","2","Wingspan Asia"
43,3,"3. Cascadia","3","Cascadia"
44,3,"4. Wingspan","4","Wingspan"
45,3,"5. Zoo Tycoon","5","Zoo Tycoon"
46,3,".",".","."
47,3,".",".","."
48,3,".",".","."
49,3,".",".","."
50,3,".",".","."
51,3,".",".","."
52,3,".",".","."
53,3,".",".","."
54,3,".",".","."
55,3,".",".","."
56,3,".",".","."
57,3,".",".","."
58,3,".",".","."
59,3,".",".","."
60,3,".",".","."
61,4,"1. Q-less","1","Q-less"
62,4,"2. Tranquility","2","Tranquility"
63,4,"3. Kohaku","3","Kohaku"
64,4,"4. R-Eco","4","R-Eco"
65,4,"5. Pickomino","5","Pickomino"
66,4,"6. Catchy","6","Catchy"
67,4,"7. Canopy","7","Canopy"
68,4,"8. Claim","8","Claim"
69,4,"9. Gingerbread House","9","Gingerbread House"
70,4,"10. Carcassonne","10","Carcassonne"
71,4,"11. So Clover","11","So Clover"
72,4,"12. My City Roll and Build","12","My City Roll and Build"
73,4,"13. Habitats","13","Habitats"
74,4,"14. Kingdomino","14","Kingdomino"
75,4,"15. Lost Cities","15","Lost Cities"
76,4,"16. Cribbage","16","Cribbage"
77,4,"17. Can't Stop","17","Can't Stop"
78,4,"18. Sagrada","18","Sagrada"
79,4,"19. Cascadia","19","Cascadia"
80,4,"20. Codenames: Duet","20","Codenames: Duet"
81,5,"1. Twilight Struggle","1","Twilight Struggle"
82,5,"2. Unmatched","2","Unmatched"
83,5,"3. Watergate","3","Watergate"
84,5,"4. 7 Ronin","4","7 Ronin"
85,5,"5. Raptor","5","Raptor"
86,5,"6. Mind MGMT: The Psychic Espionage "Game"","6","Mind MGMT: The Psychic Espionage "Game""
87,5,"7. Blitzkrieg!: World War Two in 20 Minutes","7","Blitzkrieg!: World War Two in 20 Minutes"
88,5,"8. Obsesssion","8","Obsesssion"
89,5,"9. Undaunted: North Africa","9","Undaunted: North Africa"
90,5,"10. Innovation","10","Innovation"
91,5,"11. Beyond the Sun","11","Beyond the Sun"
92,5,"12. That Time You Killed Me","12","That Time You Killed Me"
93,5,"13. Caper: Europe","13","Caper: Europe"
94,5,"14. Hanamikoji","14","Hanamikoji"
95,5,"15. 13 Days: The Cuban Missile Crisis","15","13 Days: The Cuban Missile Crisis"
96,5,"16. Radlands","16","Radlands"
97,5,"17. Sky Team","17","Sky Team"
98,5,"18. The Search for Planet X","18","The Search for Planet X"
99,5,"19. Jekyll vs. Hyde","19","Jekyll vs. Hyde"
100,5,"20. Jaipur","20","Jaipur"
101,6,"1. Ark Nova","1","Ark Nova"
102,6,"2. Maracaibo","2","Maracaibo"
103,6,"3. Innovation","3","Innovation"
104,6,"4. The Colonists","4","The Colonists"
105,6,"5. Planet Unknown","5","Planet Unknown"
106,6,"6. Jet Set","6","Jet Set"
107,6,"7. Lost Ruins of Arnak","7","Lost Ruins of Arnak"
108,6,"8. Boonlake","8","Boonlake"
109,6,"9. Electropolis","9","Electropolis"
110,6,"10. Rococo: Deluxe Plus Edition","10","Rococo: Deluxe Plus Edition"
111,6,"11. Troyes","11","Troyes"
112,6,"12. Village","12","Village"
113,6,"13. Tungaru","13","Tungaru"
114,6,"14. Dice City","14","Dice City"
115,6,"15. Bubblee Pop","15","Bubblee Pop"
116,6,"16. Sierra West","16","Sierra West"
117,6,"17. The Quacks of Quedlinburg","17","The Quacks of Quedlinburg"
118,6,"18. Ecos: First Continent","18","Ecos: First Continent"
119,6,"19. Legacy: The Testament of Duke de Crecy","19","Legacy: The Testament of Duke de Crecy"
120,6,"20. The One Hundred Torii","20","The One Hundred Torii"
121,7,"1. Spirit Island","1","Spirit Island"
122,7,"2. Fog of Love","2","Fog of Love"
123,7,"3. Backgammon","3","Backgammon"
124,7,"4. Cribbage","4","Cribbage"
125,7,"5. Crokinole","5","Crokinole"
126,7,"6. Arboretum","6","Arboretum"
127,7,"7. Azul","7","Azul"
128,7,"8. It's a Wonderful World","8","It's a Wonderful World"
129,7,"9. The Mind","9","The Mind"
130,7,"10. Elder Sign","10","Elder Sign"
131,7,"11. Push It","11","Push It"
132,7,"12. Quantum","12","Quantum"
133,7,"13. Radlands","13","Radlands"
134,7,"14. Biblios","14","Biblios"
135,7,"15. The Castles of Burgundy","15","The Castles of Burgundy"
136,7,"16. Forbidden Desert","16","Forbidden Desert"
137,7,"17. Babylonia","17","Babylonia"
138,7,"18. Santorini","18","Santorini"
139,7,"19. Love Letter","19","Love Letter"
140,7,"20. Lanterns: The Harvest Festival","20","Lanterns: The Harvest Festival"
